file;name;country;capacity;license;author;source
olympic-stadium.jpg;Olympic Stadium;Netherlands;22288;Attribution;http://www.bmz.amsterdam.nl;https://commons.wikimedia.org/wiki/File:Olstadion.jpg
daegu-stadium.jpg;Daegu Stadium;South Korea;68014;CC BY-SA 3.0;ko:user:Av3037;https://commons.wikimedia.org/wiki/File:Daegu_Stadium.JPG
salt-lake-stadium.jpg;Salt Lake Stadium;India;68000;CC BY-SA 4.0;Vinayaraj;https://commons.wikimedia.org/wiki/File:Salt_Lake_Stadium,_Vivekananda_Yuba_Bharati_Krirangan_(VYBK)-_Kolkata_-_IRCTC_2017_(29).jpg
eden-park.jpg;Eden Park;New Zealand;50000;CC BY 2.0;This image's author is Kiwi Flickr Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.;https://commons.wikimedia.org/wiki/File:Eden_Park_at_Dusk,_2013.jpg
podgorica-city-stadium.jpg;Podgorica City Stadium;Montenegro;12000;CC BY 2.0;MrSco;https://commons.wikimedia.org/wiki/File:Stadion_pod_Goricom.jpg
rheinpark-stadion.jpg;Rheinpark Stadion;Liechtenstein;7584;CC BY-SA 3.0;unknown;https://commons.wikimedia.org/wiki/File:Haupttrib%C3%BCne_mit_Gebirge.JPG
cairo-international-stadium.jpg;Cairo International Stadium;Egypt;100500;CC BY-SA 4.0;Crosskimo;https://commons.wikimedia.org/wiki/File:Cairo_stadium_Egypt_vs_Senegal.jpg
asim-ferhatovic-hase-stadium.jpg;Asim Ferhatović Hase Stadium;Bosnia and Herzegovina;30121;CC BY 2.0;ulicar;https://commons.wikimedia.org/wiki/File:Asim_Ferhatovi%C4%87_Hase_Stadium.jpg
laugardalsvollur.jpg;Laugardalsvöllur;Iceland;15427;CC BY 4.0;Quintin Soloviev;https://commons.wikimedia.org/wiki/File:Laugardalsv%C3%B6llur,_Iceland%27s_national_football_stadium.jpg
vasil-levski-national-stadium.jpg;Vasil Levski National Stadium;Bulgaria;43230;CC BY-SA 4.0;JukoFF;https://commons.wikimedia.org/wiki/File:Vasil_Levski_National_Stadium_2022.jpg
de-grolsch-veste.jpg;De Grolsch Veste;Netherlands;30000;CC BY-SA 3.0;Mark92 at nl.wikipedia;https://commons.wikimedia.org/wiki/File:Grolsch_Veste_wedstrijd.JPG
gsp-stadium.jpg;GSP Stadium;Cyprus;22709;CC BY 2.0;George Groutas;https://commons.wikimedia.org/wiki/File:GSP_Stadium_in_Nicosia_(Omonoia_-_Manchester_City).jpg
fortuna-arena.jpg;Fortuna Arena;Czech Republic;20800;CC BY 2.0;Markus Unger from Vienna, Austria;https://commons.wikimedia.org/wiki/File:Synot_Tip_Arena_-_Viktoria_Plzen_-_FC_Barcelona_0-4.jpg
ta-qali-national-stadium.jpg;Ta' Qali National Stadium;Malta;17797;Public domain;D T G;https://commons.wikimedia.org/wiki/File:Malta_TaQali.JPG
borisov-arena.jpg;Borisov Arena;Belarus;13121;CC BY 3.0;Валерий Дед;https://commons.wikimedia.org/wiki/File:Barysaw_Barysaw-Arena_1.jpg
zimbru-stadium.jpg;Zimbru Stadium;Moldova;10400;CC0;Lovecookie22;https://commons.wikimedia.org/wiki/File:Zimbru_Stadium_in_26_April_2025.jpg
