file;manager;license;author;source;modified
dirk-kuyt.jpg;Dirk Kuyt;CC BY-SA 4.0;User:Zafer;https://commons.wikimedia.org/wiki/File:Dirk_Kuyt_Fenerbah%C3%A7e_20260805_(1)_(cropped).JPG;cropped to the head and resized to 320px
dmitri-alenichev.jpg;Dmitri Alenichev;CC BY-SA 3.0;Артем Гусев;https://commons.wikimedia.org/wiki/File:Dmitry_Alenichev.jpg;cropped to the head and resized to 320px
domenico-tedesco.jpg;Domenico Tedesco;CC BY-SA 3.0;Анна Нэсси;https://commons.wikimedia.org/wiki/File:LOK-SPA_10.2019_(3).jpg;cropped to the head and resized to 320px
duncan-ferguson.jpg;Duncan Ferguson;CC BY 3.0;Toffee TV : Everton Fan Channel;https://commons.wikimedia.org/wiki/File:Duncan_Ferguson,_November_2019.jpg;cropped to the head and resized to 320px
dunga.jpg;Dunga;Public domain;amigosdaarte;https://commons.wikimedia.org/wiki/File:2024-07-13_F%C3%89stival_Guaratinguet%C3%A1,_001.jpg;cropped to the head and resized to 320px
emerson-leao.jpg;Émerson Leão;CC BY-SA 2.0;Júnior Faria/flickr;https://commons.wikimedia.org/wiki/File:Emerson_Leao.jpg;cropped to the head and resized to 320px
emre-belozoglu.jpg;Emre Belözoğlu;CC BY-SA 3.0;Umi1903;https://commons.wikimedia.org/wiki/File:Emre_in_national_team_(11.08.2010)_(cropped).JPG;cropped to the head and resized to 320px
enzo-maresca.jpg;Enzo Maresca;CC BY-SA 4.0;Timfilbert;https://commons.wikimedia.org/wiki/File:Maresca_Championship_trophy_Leicester_(cropped).jpg;cropped to the head and resized to 320px
eric-gerets.jpg;Eric Gerets;CC BY 2.0;Doha Stadium Plus Qatar;https://commons.wikimedia.org/wiki/File:Eric_Gerets_2012_1_(cropped).jpg;cropped to the head and resized to 320px
erik-ten-hag.jpg;Erik ten Hag;CC BY-SA 4.0;Olga Shcherbytska;https://commons.wikimedia.org/wiki/File:%D0%9E%D1%82%D0%BA%D1%80%D1%8B%D1%82%D0%B0%D1%8F_%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%C2%AB%D0%90%D1%8F%D0%BA%D1%81%D0%B0%C2%BB_%D0%BF%D0%B5%D1%80%D0%B5%D0%B4_%D0%BC%D0%B0%D1%82%D1%87%D0%B5%D0%BC_%D1%81_%C2%AB%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE%C2%BB._27_%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%B0_2018_%D0%B3%D0%BE%D0%B4%D0%B0_%E2%80%94_900304_(Erik_ten_Hag).jpg;cropped to the head and resized to 320px
ernesto-valverde.jpg;Ernesto Valverde;CC BY-SA 3.0;Богдан Заяц;https://commons.wikimedia.org/wiki/File:Valverde_2014.jpg;cropped to the head and resized to 320px
fabio-cannavaro.jpg;Fabio Cannavaro;CC BY 4.0;Original: Mech867 / Derivative work: Danyele;https://commons.wikimedia.org/wiki/File:Fabio_Cannavaro_-_2024_(cropped).jpg;cropped to the head and resized to 320px
